2022-01-23 17:31:53,124 DEBUG    decorator.py Была вызвана функция arg_parser(), вызов произошёл из функции main()
2022-01-23 17:31:53,124 INFO     server.py Запущен сервер, порт для подключений: 7778, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-01-23 17:31:53,369 INFO     server.py Установлено соедение с ПК ('127.0.0.1', 35014)
2022-01-23 17:31:53,736 INFO     server.py Установлено соедение с ПК ('127.0.0.1', 35016)
2022-01-23 17:31:53,737 DEBUG    decorator.py Была вызвана функция get_message(), вызов произошёл из функции main()
2022-01-23 17:31:53,737 DEBUG    server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1642948313.3698223, 'user': {'account_name': 'Guest'}}
2022-01-23 17:31:53,740 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции process_client_message()
2022-01-23 17:31:53,744 DEBUG    decorator.py Была вызвана функция process_client_message(), вызов произошёл из функции main()
2022-01-23 17:31:54,014 INFO     server.py Установлено соедение с ПК ('127.0.0.1', 35018)
2022-01-23 17:31:54,015 DEBUG    decorator.py Была вызвана функция get_message(), вызов произошёл из функции main()
2022-01-23 17:31:54,015 DEBUG    server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1642948313.7364244, 'user': {'account_name': 'Guest'}}
2022-01-23 17:31:54,018 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции process_client_message()
2022-01-23 17:31:54,019 DEBUG    decorator.py Была вызвана функция process_client_message(), вызов произошёл из функции main()
2022-01-23 17:31:54,129 INFO     server.py Установлено соедение с ПК ('127.0.0.1', 35020)
2022-01-23 17:31:54,130 DEBUG    decorator.py Была вызвана функция get_message(), вызов произошёл из функции main()
2022-01-23 17:31:54,130 DEBUG    server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1642948314.014865, 'user': {'account_name': 'Guest'}}
2022-01-23 17:31:54,131 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции process_client_message()
2022-01-23 17:31:54,132 DEBUG    decorator.py Была вызвана функция process_client_message(), вызов произошёл из функции main()
2022-01-23 17:31:54,635 DEBUG    decorator.py Была вызвана функция get_message(), вызов произошёл из функции main()
2022-01-23 17:31:54,635 DEBUG    server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1642948314.129893, 'user': {'account_name': 'Guest'}}
2022-01-23 17:31:54,640 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции process_client_message()
2022-01-23 17:31:54,644 DEBUG    decorator.py Была вызвана функция process_client_message(), вызов произошёл из функции main()
2022-01-23 17:32:06,661 DEBUG    decorator.py Была вызвана функция get_message(), вызов произошёл из функции main()
2022-01-23 17:32:06,662 DEBUG    server.py Разбор сообщения от клиента : {'action': 'message', 'time': 1642948326.3010242, 'account_name': 'Guest', 'mess_text': 'Пыщ'}
2022-01-23 17:32:06,664 DEBUG    decorator.py Была вызвана функция process_client_message(), вызов произошёл из функции main()
2022-01-23 17:32:06,667 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
2022-01-23 17:32:06,669 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
2022-01-23 17:32:06,671 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
2022-01-23 17:32:06,674 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
2022-01-23 17:32:10,683 DEBUG    decorator.py Была вызвана функция get_message(), вызов произошёл из функции main()
2022-01-23 17:32:10,683 DEBUG    server.py Разбор сообщения от клиента : {'action': 'message', 'time': 1642948330.51659, 'account_name': 'Guest', 'mess_text': 'Пыщ'}
2022-01-23 17:32:10,686 DEBUG    decorator.py Была вызвана функция process_client_message(), вызов произошёл из функции main()
2022-01-23 17:32:10,688 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
2022-01-23 17:32:10,690 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
2022-01-23 17:32:10,693 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
2022-01-23 17:32:10,696 DEBUG    decorator.py Была вызвана функция send_message(), вызов произошёл из функции main()
